,Crop,Crop_Name,Start_Date,End_Date,Rotation
0,6,Sugar beet,2025-03,2025-10,Rotation 1
1,7,Winter Wheat,2025-11,2026-08,Rotation 1
2,2,Cover crop,2026-09,2027-04,Rotation 1
3,5,Potato,2027-05,2027-08,Rotation 1
4,1,Bare soil,2027-09,2027-10,Rotation 1
5,7,Winter Wheat,2027-11,2028-08,Rotation 1
6,8,Rapeseed,2028-09,2029-07,Rotation 1
7,1,Bare soil,2029-08,2029-10,Rotation 1
8,7,Winter wheat,2029-11,2030-08,Rotation 1
9,2,Cover crop,2030-09,2031-04,Rotation 1
10,4,Maize,2031-05,2031-09,Rotation 1
11,1,Bare soil,2031-10,2031-10,Rotation 1
12,7,Winter wheat,2031-11,2032-08,Rotation 1
13,2,Cover crop,2032-09,2033-02,Rotation 1
14,6,Sugar beet,2033-03,2033-10,Rotation 2
15,7,Winter Wheat,2033-11,2034-08,Rotation 2
16,2,Cover crop,2034-09,2035-04,Rotation 2
17,5,Potato,2035-05,2035-08,Rotation 2
18,1,Bare soil,2035-09,2035-10,Rotation 2
19,7,Winter Wheat,2035-11,2036-08,Rotation 2
20,8,Rapeseed,2036-09,2037-07,Rotation 2
21,1,Bare soil,2037-08,2037-10,Rotation 2
22,7,Winter wheat,2037-11,2038-08,Rotation 2
23,2,Cover crop,2038-09,2039-04,Rotation 2
24,4,Maize,2039-05,2039-09,Rotation 2
25,1,Bare soil,2039-10,2039-10,Rotation 2
26,7,Winter wheat,2039-11,2040-08,Rotation 2
27,2,Cover crop,2040-09,2040-12,Rotation 2
